APPL,438000000,1.06
AMZN,498000000,0.00
ZM,111800000,0.00
ZM,158.93,100,0
APPL,279.07,150,0
AMZN,2366.9,550,0
AMZN,2377.6,850,1
APPL,281.64,0,1
ZM,163.88,50,1
APPL,284.45,425,0
APPL,286.65,400,1
ZM,156.61,225,1
AMZN,2392.79,950,0
ZM,158.86,125,1
ZM,155.88,350,1
ZM,155.75,0,1
ZM,161.51,350,0
ZM,158.4,475,0
ZM,158.26,400,1
ZM,158.92,100,1
ZM,163.14,375,0
ZM,163.47,425,0
ZM,161.95,375,1
AMZN,2395.27,900,1
AMZN,2393.69,850,0
ZM,157.75,50,1
APPL,279.18,275,1
AMZN,2360.55,900,1
AMZN,2406.75,700,0
AMZN,2347.45,0,1
AMZN,2413.16,650,0
APPL,287.72,50,1
ZM,156.43,375,1
AMZN,2393.72,600,0
ZM,158.07,250,0
AMZN,2382.21,850,1
AMZN,2413.97,550,0
ZM,161.0,175,1
ZM,158.2,425,0
ZM,160.28,25,1
APPL,278.98,150,0
AMZN,2385.76,650,0
APPL,286.25,100,1
ZM,158.5,275,0
APPL,287.21,200,0
ZM,161.16,150,1
APPL,278.05,275,0
ZM,159.43,400,0
APPL,281.82,475,1
ZM,160.99,175,1
ZM,160.63,350,0
AMZN,2341.56,450,1
ZM,157.06,75,1
ZM,157.64,225,1
ZM,163.82,250,1
ZM,162.62,0,0
ZM,162.58,300,0
ZM,162.56,400,1
AMZN,2352.76,350,0
APPL,280.38,150,1
APPL,285.8,375,1
ZM,159.04,200,0
ZM,160.25,250,1
APPL,283.42,25,0
ZM,160.77,475,1
ZM,163.91,125,0
AMZN,2349.59,850,0
ZM,157.09,250,0
ZM,162.28,75,1
ZM,160.46,475,1
AMZN,2362.8,150,0
ZM,157.67,0,0
APPL,279.49,50,1
APPL,284.63,150,0
AMZN,2392.43,900,0
AMZN,2348.88,450,1
APPL,278.66,125,1
APPL,278.05,0,1
APPL,287.51,0,1
APPL,285.3,450,0
AMZN,2407.13,200,0
APPL,287.73,475,1
ZM,163.87,400,1
ZM,161.88,175,1
APPL,286.53,100,0
AMZN,2403.46,300,0
APPL,286.72,450,1
ZM,156.11,225,1
APPL,280.08,350,1
ZM,162.97,50,1
ZM,160.06,325,1
APPL,278.5,375,0
AMZN,2394.89,750,1
ZM,155.94,450,1
APPL,281.02,0,0
AMZN,2379.87,0,1
APPL,281.2,475,0
APPL,284.34,275,1
APPL,280.91,175,1
APPL,287.23,350,1
AMZN,2392.16,500,1
ZM,162.61,0,1
APPL,285.35,425,1
APPL,278.42,325,1
APPL,282.73,250,0
ZM,160.34,350,0
ZM,157.51,400,0
AMZN,2356.17,350,0
AMZN,2367.4,350,0
APPL,287.25,100,1
APPL,283.41,325,1
ZM,155.82,0,1
AMZN,2385.44,150,0
APPL,278.38,125,1
ZM,161.38,250,0
APPL,281.38,475,0
ZM,158.4,75,1
APPL,284.35,450,1
AMZN,2375.23,300,1
AMZN,2410.55,350,0
ZM,159.28,25,0
ZM,158.16,425,0
APPL,278.35,300,1
AMZN,2346.44,150,0
APPL,286.13,100,0
APPL,283.66,175,1
AMZN,2390.79,950,1
APPL,283.78,225,1
AMZN,2339.73,50,0
AMZN,2351.47,550,1
APPL,283.23,75,0
AMZN,2408.05,500,1
APPL,278.66,425,0
ZM,161.64,75,0
APPL,285.71,325,0
AMZN,2354.27,0,0
APPL,281.13,225,1
ZM,162.16,425,1
AMZN,2410.19,50,1
AMZN,2408.77,700,1
AMZN,2358.29,300,1
AMZN,2379.45,800,1
AMZN,2389.61,650,1
AMZN,2362.58,250,0
ZM,162.83,50,0
ZM,159.28,375,1
AMZN,2337.25,450,0
AMZN,2368.55,0,1
AMZN,2379.14,750,0
AMZN,2385.93,350,1
AMZN,2402.25,900,1
ZM,162.17,100,1
APPL,283.68,375,1
AMZN,2339.26,200,0
ZM,155.9,200,0
APPL,279.97,50,0
ZM,161.6,200,0
APPL,280.9,375,0
ZM,163.57,425,0
APPL,278.88,475,1
ZM,156.55,175,1
APPL,278.72,200,1
APPL,280.84,325,1
ZM,161.23,150,1
ZM,161.63,0,1
ZM,160.91,75,1
AMZN,2365.05,950,1
AMZN,2396.95,450,0
ZM,159.95,225,0
APPL,286.88,125,1
APPL,281.21,325,0
AMZN,2411.12,700,1
AMZN,2355.76,0,1
AMZN,2391.74,800,0
APPL,280.93,25,1
AMZN,2360.03,650,1
AMZN,2374.9,150,1
APPL,280.07,25,1
ZM,159.37,175,1
APPL,287.17,275,0
APPL,281.48,200,0
ZM,164.31,450,0
APPL,281.39,300,0
ZM,157.74,250,0
ZM,162.03,50,0
ZM,161.74,475,1
APPL,278.28,225,1
APPL,281.06,475,1
APPL,284.68,475,0
ZM,157.2,450,0
APPL,281.56,0,1
AMZN,2358.19,850,1
APPL,284.86,275,0
ZM,157.65,475,0
AMZN,2369.21,850,0
ZM,159.85,425,0
ZM,159.64,125,0
AMZN,2386.03,900,0
AMZN,2357.91,400,0
APPL,279.35,425,1
AMZN,2396.94,50,1
AMZN,2375.92,0,0
APPL,286.63,225,1
APPL,285.82,50,1
APPL,281.58,100,0
APPL,287.37,50,1
APPL,284.95,300,0
AMZN,2372.72,550,1
APPL,281.98,0,1
ZM,157.69,125,1
ZM,157.99,450,0
APPL,284.43,175,0
APPL,278.71,275,0
APPL,281.06,375,1
AMZN,2355.2,100,0
AMZN,2386.66,400,0
ZM,156.76,175,1
APPL,281.06,50,1
ZM,156.03,200,1
ZM,164.32,275,0
APPL,287.5,200,1
ZM,155.62,75,0
APPL,283.16,125,0
APPL,284.56,25,0
AMZN,2365.81,100,1
APPL,281.62,150,0
ZM,160.39,475,1
APPL,286.26,0,1
AMZN,2357.4,900,0
ZM,159.32,450,1
ZM,157.33,400,1
AMZN,2389.87,900,1
AMZN,2403.67,400,0
APPL,284.8,325,1
AMZN,2377.1,150,1
AMZN,2387.77,500,1
AMZN,2410.74,750,0
AMZN,2365.07,600,0
ZM,163.76,275,1
APPL,283.48,25,1
ZM,158.67,350,1
AMZN,2384.31,850,1
APPL,280.91,25,1
APPL,282.67,325,0
ZM,155.71,475,0
ZM,156.74,325,0
APPL,287.14,400,0
ZM,157.45,425,1
ZM,158.57,350,1
ZM,161.68,50,0
ZM,163.67,475,1
AMZN,2357.76,100,1
ZM,155.8,75,1
AMZN,2336.45,150,1
APPL,281.64,175,1
AMZN,2350.42,900,0
APPL,282.86,200,0
AMZN,2378.88,350,1
APPL,287.01,0,0
APPL,281.67,450,1
ZM,157.02,75,0
ZM,161.44,25,1
ZM,156.26,475,1
ZM,155.62,425,0
AMZN,2355.78,200,0
AMZN,2366.11,200,0
AMZN,2370.63,850,1
AMZN,2380.4,0,0
ZM,158.44,475,1
AMZN,2400.46,550,0
AMZN,2390.92,100,1
APPL,283.85,350,1
AMZN,2344.8,450,0
AMZN,2395.02,200,1
APPL,282.29,200,0
ZM,161.61,300,1
AMZN,2380.59,50,0
AMZN,2390.85,300,1
APPL,287.47,175,0
APPL,282.11,275,1
APPL,283.48,375,1
ZM,161.73,150,1
ZM,156.92,0,1
ZM,164.49,475,0
APPL,284.3,425,0
ZM,161.42,250,1
APPL,283.95,275,1
ZM,157.86,400,0
ZM,156.05,225,1
AMZN,2382.11,250,0
AMZN,2390.43,300,1
APPL,285.9,275,0
AMZN,2411.64,350,0
ZM,158.63,175,0
AMZN,2391.29,600,0
AMZN,2389.01,300,1
ZM,156.81,75,1
ZM,163.88,450,0
AMZN,2395.22,50,1
AMZN,2363.17,650,1
APPL,285.91,200,0
ZM,159.93,375,1
AMZN,2401.49,600,1
AMZN,2353.94,500,1
APPL,282.61,25,0
APPL,282.14,450,1
ZM,162.62,75,0
ZM,157.76,125,1
APPL,285.35,400,0
AMZN,2384.91,200,1
APPL,284.27,275,0
APPL,278.57,225,0
AMZN,2402.79,700,0
AMZN,2410.57,300,0
ZM,156.83,250,0
ZM,159.17,450,1
AMZN,2370.29,50,0
APPL,281.51,200,0
AMZN,2411.03,650,0
AMZN,2383.62,950,1
APPL,278.67,125,1
ZM,164.02,25,0
AMZN,2374.05,150,0
APPL,287.71,200,0
ZM,160.44,250,0
AMZN,2408.87,900,0
AMZN,2396.46,350,0
AMZN,2374.79,450,1
AMZN,2398.34,950,1
AMZN,2340.81,700,0
ZM,159.85,325,1
AMZN,2401.34,750,1
ZM,164.47,100,0
AMZN,2371.59,800,1
APPL,282.72,250,0
APPL,279.95,325,0
ZM,157.89,250,0
APPL,283.8,400,0
ZM,157.07,250,0
APPL,283.56,400,0
APPL,281.26,225,0
APPL,287.29,200,1
ZM,157.29,300,1
AMZN,2376.87,350,1
APPL,287.52,50,1
APPL,285.04,275,1
APPL,286.45,125,1
AMZN,2350.64,200,1
AMZN,2338.12,950,1
APPL,278.46,300,0
APPL,285.5,425,0
